id,category,title,status,source_class,ingest_text,reason,downloaded_files
BWF_COACHES,official,BWF Coach Education / Coach Manual Level 1 and Level 2,downloaded_html_and_supplemental_pdf,official_manual,true,eligible evidence source,rag_project\sources\raw\html\BWF_COACHES.html;rag_project\sources\raw\pdf\BWF_COACH_MANUAL_L1_MIRROR.pdf
BWF_SHUTTLE_TIME,official,BWF Shuttle Time Teacher Manual Lesson Plans and Video Clips,downloaded_html,official_manual,true,eligible evidence source,rag_project\sources\raw\html\BWF_SHUTTLE_TIME.html
BOOK_GRICE,book,Tony Grice - Badminton: Steps to Success,downloaded_html,book_preview_or_product_page,false,preview or product page only,rag_project\sources\raw\html\BOOK_GRICE.html
BOOK_BRAHMS,book,Bernd-Volker Brahms - Badminton Handbook: Training Tactics Competition,downloaded_html,book_preview_or_product_page,false,preview or product page only,rag_project\sources\raw\html\BOOK_BRAHMS.html
CN_JINYUFEIYANG,course,金羽飞扬--世界冠军的羽毛球课堂,downloaded_html,full_text_html,true,eligible evidence source,rag_project\sources\raw\html\CN_JINYUFEIYANG.html
CN_ZHANG_RUILIN,book,张瑞林 羽毛球运动教程,downloaded_html,book_preview_or_product_page,false,preview or product page only,rag_project\sources\raw\html\CN_ZHANG_RUILIN.html
REV_PHOMSOUPHA_LAFFAYE,review,The Science of Badminton: Game Characteristics Anthropometry Physiology Visual Fitness and Biomechanics,downloaded_html,full_text_html,true,eligible evidence source,rag_project\sources\raw\html\REV_PHOMSOUPHA_LAFFAYE.html
REV_WADDELL_GOWITZKE,review,Biomechanical Principles Applied to Badminton Power Strokes,downloaded_pdf,full_text_pdf,true,eligible evidence source,rag_project\sources\raw\pdf\REV_WADDELL_GOWITZKE.pdf
REV_LAM_LUNGE,review,Biomechanics of Lower Limb in Badminton Lunge: A Systematic Scoping Review,downloaded_html,full_text_html,true,eligible evidence source,rag_project\sources\raw\html\REV_LAM_LUNGE.html
REV_HARYANTO_SMASH,review,Biomechanical Analysis of Smash Stroke in Badminton,downloaded_pdf,full_text_pdf,true,eligible evidence source,rag_project\sources\raw\pdf\REV_HARYANTO_SMASH.pdf
REV_STEPPER_INJURIES,review,Systematic Review on Badminton Injuries,downloaded_html,full_text_html,true,eligible evidence source,rag_project\sources\raw\html\REV_STEPPER_INJURIES.html
CLEAR_SORENSEN,clear,A Biomechanical Analysis of Clear Strokes in Badminton,downloaded_pdf,full_text_pdf,true,eligible evidence source,rag_project\sources\raw\pdf\CLEAR_SORENSEN.pdf
CLEAR_ZHAO_LOWER_LIMB,clear,A Biomechanical Analysis of Lower Limb Movement on the Backcourt Forehand Clear Stroke among Badminton Players of Different Levels,downloaded_html,full_text_html,true,eligible evidence source,rag_project\sources\raw\html\CLEAR_ZHAO_LOWER_LIMB.html
