id,category,title,year,url,expected_access,status,primary_status_code,primary_content_type,downloaded_files,pdf_candidates,notes
BWF_COACHES,official,BWF Coach Education / Coach Manual Level 1 and Level 2,,https://development.bwfbadminton.com/coaches,official_page,downloaded_html,200,text/html; charset=UTF-8,rag_project/sources/raw/html/BWF_COACHES.html,,
BWF_SHUTTLE_TIME,official,BWF Shuttle Time Teacher Manual Lesson Plans and Video Clips,,https://shuttletime.bwfbadminton.com/teacher-manual,official_page,downloaded_html,200,text/html; charset=UTF-8,rag_project/sources/raw/html/BWF_SHUTTLE_TIME.html,,
BOOK_GRICE,book,Tony Grice - Badminton: Steps to Success,,https://us.humankinetics.com/products/badminton-steps-to-success-2nd-edition,book_page,downloaded_html,200,text/html; charset=utf-8,rag_project/sources/raw/html/BOOK_GRICE.html,,
BOOK_BRAHMS,book,Bernd-Volker Brahms - Badminton Handbook: Training Tactics Competition,,https://books.google.rw/books?id=4aQKAwAAQBAJ&printsec=frontcover,book_page,downloaded_html,200,text/html; charset=UTF-8,rag_project/sources/raw/html/BOOK_BRAHMS.html,,
CN_JINYUFEIYANG,course,金羽飞扬--世界冠军的羽毛球课堂,,https://higher.smartedu.cn/course/63e2d37eaf1f1b5d3ecf95ee,official_page,downloaded_html,200,text/html;charset=utf-8,rag_project/sources/raw/html/CN_JINYUFEIYANG.html,,
CN_ZHANG_RUILIN,book,张瑞林 羽毛球运动教程,2017,https://tyb.bwu.edu.cn/system/_content/download.jsp?owner=1374793674&urltype=news.DownloadAttachUrl&wbfileid=3005817,possible_pdf,downloaded_html,200,text/html,rag_project/sources/raw/html/CN_ZHANG_RUILIN.html,,
REV_PHOMSOUPHA_LAFFAYE,review,The Science of Badminton: Game Characteristics Anthropometry Physiology Visual Fitness and Biomechanics,2015,https://pubmed.ncbi.nlm.nih.gov/25549780/,abstract_or_fulltext,downloaded_html,200,text/html; charset=utf-8,rag_project/sources/raw/html/REV_PHOMSOUPHA_LAFFAYE.html,,
REV_WADDELL_GOWITZKE,review,Biomechanical Principles Applied to Badminton Power Strokes,,https://ojs.ub.uni-konstanz.de/cpa/article/download/2233/2089/,open_pdf,downloaded_pdf,200,application/pdf,rag_project/sources/raw/pdf/REV_WADDELL_GOWITZKE.pdf,,
REV_LAM_LUNGE,review,Biomechanics of Lower Limb in Badminton Lunge: A Systematic Scoping Review,2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC7648456/,open_article,downloaded_html,200,text/html; charset=utf-8,rag_project/sources/raw/html/REV_LAM_LUNGE.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC7648456/pdf/peerj-08-10300.pdf;https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg,PDF candidate not saved: https://pmc.ncbi.nlm.nih.gov/articles/PMC7648456/pdf/peerj-08-10300.pdf content_type=text/html; charset=utf-8 | PDF candidate not saved: https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg content_type=image/svg+xml
REV_HARYANTO_SMASH,review,Biomechanical Analysis of Smash Stroke in Badminton,2024,https://revistaretos.org/index.php/retos/article/download/107662/78753/425050,open_pdf,failed,,,,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
REV_STEPPER_INJURIES,review,Systematic Review on Badminton Injuries,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC11781153/,open_article,downloaded_html,200,text/html; charset=utf-8,rag_project/sources/raw/html/REV_STEPPER_INJURIES.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC11781153/pdf/bmjsem-10-4.pdf;https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg,PDF candidate not saved: https://pmc.ncbi.nlm.nih.gov/articles/PMC11781153/pdf/bmjsem-10-4.pdf content_type=text/html; charset=utf-8 | PDF candidate not saved: https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg content_type=image/svg+xml
CLEAR_SORENSEN,clear,A Biomechanical Analysis of Clear Strokes in Badminton,2010,https://projekter.aau.dk/projekter/files/42678547/articledone.pdf,open_pdf,downloaded_pdf,200,application/pdf,rag_project/sources/raw/pdf/CLEAR_SORENSEN.pdf,,
CLEAR_ZHAO_LOWER_LIMB,clear,A Biomechanical Analysis of Lower Limb Movement on the Backcourt Forehand Clear Stroke among Badminton Players of Different Levels,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6348812/,open_article,downloaded_html,200,text/html; charset=utf-8,rag_project/sources/raw/html/CLEAR_ZHAO_LOWER_LIMB.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC6348812/pdf/ABB2019-7048345.pdf;https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg,PDF candidate not saved: https://pmc.ncbi.nlm.nih.gov/articles/PMC6348812/pdf/ABB2019-7048345.pdf content_type=text/html; charset=utf-8 | PDF candidate not saved: https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg content_type=image/svg+xml
CLEAR_ZHI_JIXIN_CN,clear,羽毛球后场正手高远球技术的运动学分析,2018,https://stxb.magtech.com.cn/CN/Y2018/V37/I2/109,abstract_or_fulltext,downloaded_html,200,text/html;charset=UTF-8,rag_project/sources/raw/html/CLEAR_ZHI_JIXIN_CN.html,https://stxb.magtech.com.cn/develop/static/common/js/download_cn.js,PDF candidate not saved: https://stxb.magtech.com.cn/develop/static/common/js/download_cn.js content_type=application/javascript;charset=UTF-8
CLEAR_HUANG_EXPERT_NOVICE,clear,Differences in Backcourt Forehand Clear Stroke between Novice and Expert Players,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12060343/,open_article,downloaded_html,200,text/html; charset=utf-8,rag_project/sources/raw/html/CLEAR_HUANG_EXPERT_NOVICE.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC12060343/pdf/13102_2025_Article_1163.pdf;https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg,PDF candidate not saved: https://pmc.ncbi.nlm.nih.gov/articles/PMC12060343/pdf/13102_2025_Article_1163.pdf content_type=text/html; charset=utf-8 | PDF candidate not saved: https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/file_download.svg content_type=image/svg+xml
